Cited Journal Data,,,,,,,,,,,,,,
,Impact Factor,Citing Journal,All Yrs,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,Rest
113,1.621,J COGN DEV,8,0,0,0,0,0,0,0,0,2,0,6
114,,J EXP THEOR ARTIF IN,8,0,1,0,1,0,0,0,1,0,0,5
115,,J VISION,8,0,0,0,0,0,0,0,0,0,1,7
116,0.962,MIND LANG,8,1,0,0,2,0,1,2,0,1,0,1
117,,P 3 2016 ACM C,8,0,0,0,0,2,0,1,0,0,0,5
118,0.722,Z PADAGOG PSYCHOL,8,1,0,0,0,0,0,1,3,1,0,2
119,,ANAT SCI EDUC,7,0,0,0,0,0,0,0,0,3,1,3
120,1.368,ANNU REV LINGUIST,7,0,1,0,1,1,2,1,0,0,0,1
121,1.985,BRIT J PHILOS SCI,7,0,0,0,0,1,0,1,0,0,0,5
122,1.105,COGN TECHNOL WORK,7,0,0,0,0,0,0,0,0,0,0,7
123,,COMPUT INTEL NEUROSC,7,0,0,0,0,0,0,0,0,0,0,7
124,2.877,CONTEMP EDUC PSYCHOL,7,0,0,1,0,0,0,0,0,0,0,6
125,,EXPERT SYST APPL,7,0,0,0,1,0,0,0,0,0,0,6
126,,FRONT COMPUT NEUROSC,7,1,2,0,0,0,0,0,0,0,0,4
127,,INT DES ENG TECHN,7,0,0,0,0,1,0,0,0,0,0,6
128,0.930,INT J EDUC RES,7,0,0,0,0,0,0,0,5,0,0,2
129,1.410,INTERACT COMPUT,7,0,0,0,0,0,1,0,0,0,0,6
130,,J CHEM EDUC,7,0,0,0,0,1,0,0,0,0,0,6
131,1.403,J NEUROLINGUIST,7,0,1,0,1,0,0,0,0,0,1,4
132,,KNOWL-BASED SYST,7,0,1,0,2,0,0,1,0,0,0,3
133,1.471,LANG SPEECH,7,0,0,0,1,0,1,1,1,1,0,2
134,0.578,LINGUA,7,0,0,0,0,0,0,0,0,0,0,7
135,,MED EDUC,7,0,0,2,0,1,0,0,0,0,0,4
136,,METAPHOR SOC WORLD,7,0,0,0,0,1,1,0,0,0,0,5
137,,MIND MACH,7,1,0,0,1,0,0,0,1,0,0,4
138,,NEUROCOMPUTING,7,0,0,0,1,0,0,1,0,2,0,3
139,1.860,PSYCHOL AESTHET CREA,7,0,0,0,1,0,0,1,0,0,1,4
140,0.281,REV COGN LINGUIST,7,0,0,0,0,0,1,1,0,0,0,5
141,1.589,THINK SKILLS CREAT,7,0,1,0,0,0,0,1,0,0,0,5
142,,APHASIOLOGY,6,0,0,0,0,0,0,1,0,0,0,5
143,1.572,BMC MED EDUC,6,0,0,0,0,0,0,0,0,1,0,5
144,3.911,CHILD DEV PERSPECT,6,0,3,0,0,0,0,1,0,0,0,2
145,1.217,COGNITION INSTRUCT,6,0,0,0,0,0,0,1,0,0,0,5
146,,COMM COM INF SC,6,0,0,0,0,0,0,0,0,2,0,4
147,,DESIGN STUD,6,0,1,0,0,0,1,0,0,0,0,4
148,,ENTROPY-SWITZ,6,0,0,1,0,0,1,0,0,0,0,4
149,1.818,ERGONOMICS,6,0,0,0,0,0,0,0,0,0,0,6
150,0.725,ETR&D-EDUC TECH RES,6,0,0,1,0,0,0,0,0,0,0,5
151,,FOUND SCI,6,0,0,0,0,0,1,0,0,0,0,5
152,,IEEE T COGN DEV SYST,6,0,0,0,0,1,0,1,0,0,0,4
153,,INT J GAMING COMPUT-,6,0,0,0,0,0,1,1,0,0,0,4
154,1.474,INT J SCI MATH EDUC,6,0,0,0,0,0,0,0,1,0,0,5
155,1.657,J CROSS CULT PSYCHOL,6,0,0,1,0,0,0,0,0,0,0,5
156,2.156,J EXP PSYCHOL-APPL,6,0,0,1,0,0,0,0,1,0,0,4
157,2.297,J LEARN SCI,6,0,1,0,0,0,0,1,0,0,0,4
158,0.918,J PRAGMATICS,6,0,0,0,1,0,0,0,0,1,0,4
159,1.604,JUDGM DECIS MAK,6,0,0,0,2,0,1,0,1,0,0,2
160,0.102,LANGAGES,6,0,0,0,0,1,1,0,0,0,1,3
161,,MENT LEX,6,0,1,0,0,0,1,0,2,0,0,2
162,,NEURAL PLAST,6,0,0,1,0,0,0,1,0,0,0,4
163,0.966,PHONOLOGY,6,0,0,0,0,0,0,0,4,0,0,2
164,2.812,PSYCHOL AGING,6,0,2,0,0,0,0,0,0,1,0,3
165,,THEOR ISS ERGON SCI,6,0,0,0,0,0,1,0,0,0,0,5
166,1.297,VIS COGN,6,0,0,0,0,1,0,0,0,2,0,3
167,,VOPR OBRAZOVANIYA-ED,6,0,0,0,0,0,0,0,1,0,0,5
168,,AI MAG,5,0,0,0,0,0,0,0,0,0,0,5
169,,ANIM COGN,5,0,0,0,0,0,0,1,1,0,0,3
170,3.765,AUTISM RES,5,0,0,1,0,0,0,0,0,0,0,4
171,,AUTOMAT CONSTR,5,0,0,0,0,0,0,0,0,0,0,5
172,,BEYOND TIM ERR NOV,5,0,0,0,0,0,0,0,0,0,0,5
173,2.432,BRAIN COGNITION,5,0,1,0,0,0,0,0,1,0,0,3
174,,CEREB CORTEX,5,0,0,1,0,0,0,0,0,0,0,4
175,,COMPLEXITY,5,0,1,0,1,0,0,1,0,1,0,1
176,5.255,CURR DIR PSYCHOL SCI,5,0,1,1,0,0,0,0,0,1,0,2
177,2.074,DISCOURSE PROCESS,5,0,0,0,0,1,0,0,1,0,0,3
178,1.584,EDUC TECHNOL SOC,5,0,0,0,0,0,0,0,0,1,0,4
179,3.251,EMOTION,5,0,1,0,0,0,1,0,2,0,0,1
180,1.829,EXP PSYCHOL,5,0,1,0,0,0,0,1,0,0,0,3
181,,HUM-COMPUT INT-SPRIN,5,0,0,0,0,0,0,0,0,0,0,5
182,,IEEE INT CONF ADV LE,5,0,0,0,0,0,0,0,0,0,0,5
183,,IEEE-ACM T AUDIO SPE,5,0,0,1,0,0,0,1,0,0,0,3
184,1.616,INFANT BEHAV DEV,5,0,0,0,1,3,0,1,0,0,0,0
185,,INT J ADV ROBOT SYST,5,0,0,0,0,0,1,1,0,0,0,3
186,0.950,INT J AVIAT PSYCHOL,5,0,1,0,0,0,0,1,0,0,0,3
187,,INT J ENG EDUC,5,0,0,1,0,0,0,0,0,0,0,4
188,2.109,J ASSOC INF SYST,5,0,0,0,0,0,0,0,0,0,0,5
189,1.253,J COMPUT ASSIST LEAR,5,0,0,0,0,1,0,0,0,0,1,3
190,1.588,J EXP EDUC,5,0,0,0,0,0,0,0,0,0,0,5
191,2.159,J EXP SOC PSYCHOL,5,0,0,0,0,0,1,0,1,0,0,3
192,1.377,J MATH PSYCHOL,5,0,0,0,0,0,1,0,0,2,0,2
193,,J NEUROSCI,5,0,1,1,0,0,1,0,0,1,0,1
194,2.118,MEMORY,5,0,0,1,0,0,0,0,0,0,0,4
195,2.419,METACOGN LEARN,5,0,0,0,1,0,0,0,0,1,0,3
196,1.745,MOD LANG J,5,0,0,0,1,0,0,0,0,0,0,4
197,0.942,MUSIC PERCEPT,5,0,0,0,0,0,0,0,0,1,0,4
198,,NAT COMMUN,5,0,0,0,1,0,0,0,0,0,0,4
199,,NEURAL COMPUT,5,0,0,1,0,0,0,1,0,0,0,3
200,,NEUROSCI BIOBEHAV R,5,0,1,0,1,0,0,0,1,0,0,2
201,,P ANN HICSS,5,0,0,0,0,2,0,0,0,0,0,3
202,2.504,PERS SOC PSYCHOL B,5,1,1,0,0,0,0,2,0,0,0,1
203,7.359,PERSPECT PSYCHOL SCI,5,0,0,1,1,0,0,0,1,0,0,2
204,,PLOS COMPUT BIOL,5,0,0,2,0,0,0,0,0,1,0,2
205,,PROJECTIONS,5,0,2,0,0,0,1,0,0,0,0,2
206,1.394,PSYCHOL MUSIC,5,0,0,0,0,0,0,1,0,0,1,3
207,,SAFETY SCI,5,0,0,0,0,0,0,0,1,0,0,4
208,1.534,SOC NATUR RESOUR,5,0,0,0,0,0,0,0,0,0,0,5
209,,TECHNOL KNOWL LEARN,5,0,0,0,0,0,0,0,0,0,0,5
