Citing Journal Data,,,,,,,,,,,,,,
,Impact Factor,Cited Journal,All Yrs,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,Rest
305, ,P 12 INT C LOG PROGR,6,0,0,0,0,0,6,0,0,0,0,0
306, ,P 15 NAT C ART INT A,6,0,0,6,0,0,0,0,0,0,0,0
307, ,P 2 C ASS MACH TRANS,6,0,0,0,1,5,0,0,0,0,0,0
308, ,P 2 INT C GEN ALG,6,0,0,0,0,0,0,0,0,0,0,6
309, ,P 2 INT C KNOWL DISC,6,0,0,0,0,6,0,0,0,0,0,0
310, ,P 3 INT C KNOWL DISC,6,0,0,1,5,0,0,0,0,0,0,0
311, ,P 3 INT C PRINC KNOW,6,0,0,0,0,0,0,0,0,6,0,0
312, ,P 35 ANN M ASS COMP,6,0,0,0,6,0,0,0,0,0,0,0
313, ,P 6 MESS UND C MUC 6,6,0,0,0,0,0,6,0,0,0,0,0
314, ,P ICSLP,6,0,0,3,0,1,0,0,0,1,0,1
315, ,P IEEE INT C NEUR NE,6,0,0,0,1,0,3,1,1,0,0,0
316, ,P IJCAI 99,6,0,5,0,0,0,0,0,0,0,0,1
317, ,P INT C AC SPEECH SI,6,0,3,0,2,0,0,0,0,1,0,0
318, ,P JOINT INT C S LOG,6,0,0,1,0,4,0,0,0,1,0,0
319, ,P KR 92,6,0,0,0,0,0,0,0,0,6,0,0
320,3.516,PHILOS T ROY SOC B,6,0,0,0,1,0,0,0,0,3,0,2
321, ,PRZEGL FILOZOFICZN,6,0,0,0,0,0,0,0,0,0,0,6
322,6.913,PSYCHOL BULL,6,0,0,0,0,1,1,0,0,1,0,3
323, ,SIGN LANGUAGE STUDIE,6,0,0,0,0,0,0,0,0,0,1,5
324, ,TEXT SPEECH DIALOGUE,6,0,2,4,0,0,0,0,0,0,0,0
325, ,THESIS U TEXAS,6,0,0,1,2,0,1,1,0,0,0,1
326, ,WAYFINDING BEHAV,6,0,6,0,0,0,0,0,0,0,0,0
327, ,1 ORDER LOGIC,5,0,0,0,0,0,1,0,0,0,0,4
328, ,AAAI S CROSS LANG TE,5,0,0,0,5,0,0,0,0,0,0,0
329,2.138,ANIM BEHAV,5,0,0,0,0,0,0,1,0,0,0,4
330,1.542,ANN MATH,5,0,0,0,0,0,0,0,0,0,0,5
331, ,ARTIFICIAL HUM INT,5,0,0,0,0,0,0,0,0,0,0,5
