Citing Journal Data: LECTURE NOTES IN ARTIFICIAL INTELLIGENCE,,,,,,,,,,,,,,
,Impact Factor,Cited Journal,All Yrs,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,Rest
97,2.418,PHYS REV E,41,0,5,2,6,11,1,2,5,2,1,6
98,0.868,ARTIF INTELL REV,40,0,2,6,13,4,1,3,0,9,1,1
99,0.978,COMPUT NETW,40,1,3,4,2,1,7,5,13,0,0,4
100, ,DATA MINING PRACTICA,40,2,0,0,0,0,31,7,0,0,0,0
101,1.236,EXPERT SYST APPL,40,2,6,8,14,3,2,2,2,1,0,0
102, ,INT J MAN MACH STUD,40,0,0,0,0,0,0,0,0,0,0,40
103,1.863,PHYSICA D,40,0,1,0,2,2,1,1,1,1,1,30
104, ,ADV KNOWLEDGE DISCOV,39,0,1,0,1,0,0,0,0,0,34,3
105,1.675,ANN STAT,39,0,1,0,0,1,4,1,8,1,0,23
106,1.085,DATA KNOWL ENG,39,1,3,5,8,7,2,3,3,1,2,4
107,2.159,IEEE T AUTOMAT CONTR,39,1,3,3,4,0,2,0,0,0,3,23
108, ,P 1 INT JOINT C AUT,39,0,0,0,38,0,0,0,0,0,0,1
109, ,REINFORCEMENT LEARNI,39,0,0,0,0,0,4,0,33,0,2,0
110,1.908,SCI AM,39,0,2,2,1,20,1,0,0,0,1,12
111,0.694,SIGNAL PROCESS,39,0,2,3,1,2,1,3,9,0,1,17
112, ,DATA MINING CONCEPTS,38,0,0,0,2,21,15,0,0,0,0,0
113,1.016,ELECTRON LETT,38,1,1,3,5,3,5,2,5,1,0,12
114, ,GENET PROGRAMMING,38,0,2,1,0,2,1,2,7,0,5,18
115, ,NAUCHNO TEKHNICHESKA,38,0,0,0,2,2,3,3,0,0,5,23
116,1.486,IEEE T ROBOT,37,0,3,2,5,3,3,0,2,2,6,11
117,1.383,IMAGE VISION COMPUT,37,4,8,5,1,3,1,5,0,3,2,5
118,0.959,INT J APPROX REASON,37,1,2,3,0,1,1,2,3,4,13,7
119,7.489,PHYS REV LETT,37,0,3,1,3,3,3,3,1,2,4,14
120, ,COGNITIVE SCI,36,1,2,1,2,3,1,0,2,0,2,22
121,2.304,IEEE INTERNET COMPUT,36,1,5,5,6,9,3,2,2,3,0,0
122,1.008,IEEE T SPEECH AUDI P,36,0,0,2,3,2,5,4,4,3,4,9
123, ,P ACM SIGMOD INT C M,36,0,1,1,2,3,3,3,4,6,2,11
124,1.857,IEEE T BIO-MED ENG,35,1,8,2,0,1,3,0,1,1,1,17
125,1.490,IEEE T COMMUN,35,0,1,0,3,1,1,1,2,1,0,25
126,0.557,INFORM PROCESS LETT,35,3,1,5,6,1,3,1,1,1,1,12
127, ,INTELLIGENT DATA ANA,35,1,4,2,5,3,5,5,2,8,0,0
128,0.777,ROBOT AUTON SYST,35,0,5,6,2,4,6,2,4,1,4,1
129, ,GENET ALGORITHMS S,34,0,0,0,0,0,0,0,1,0,0,33
130,2.811,IEEE ACM T NETWORK,34,1,4,2,3,2,3,3,1,1,3,11
131, ,KNOWLEDGE DISCOVERY,34,0,0,0,4,6,3,8,1,1,2,9
132, ,P IEEE INT C IM PROC,34,0,1,4,1,4,4,3,8,4,2,3
133, ,CASE BASED REASONING,33,0,0,1,0,2,0,1,7,0,4,18
134,3.939,IEEE T MED IMAGING,33,0,3,4,6,2,2,4,3,0,1,8
135, ,P 18 INT JOINT C ART,33,0,0,31,0,0,1,1,0,0,0,0
136, ,P 20 INT C VER LARG,33,0,0,0,0,0,1,0,0,0,0,32
137, ,P ACM SIGMOD,33,0,2,0,2,3,4,2,1,2,2,15
138,0.569,APPL INTELL,32,0,3,2,3,10,5,4,1,1,1,2
139, ,NEURAL NETWORKS PATT,32,0,0,0,0,0,1,3,1,0,3,24
140, ,P IEEE INT C ROB AUT,32,3,2,2,4,2,6,3,2,0,3,5
141, ,P IEEE INT C SYST MA,32,0,7,9,0,2,5,2,3,0,0,4
142, ,P INT JOINT C ART IN,31,1,0,7,0,3,0,4,0,5,0,11
143, ,THESIS MASS I TECH,31,1,2,4,2,4,0,4,0,1,2,11
